Project ID;Year;Retired Credits;Issued Credits;Vintage Credits
CAR435;2015;128811,0;128811,0;119218,0
CAR435;2017;220552,0;101334,0;107705,0
CAR435;2018;107705,0;107705,0;91420,0
CAR436;2009;12049,0;12049,0;37088,0
CAR436;2010;53855,0;53855,0;72668,0
CAR436;2011;69356,0;69356,0;58022,0
CAR436;2012;51866,0;51866,0;45911,0
CAR436;2013;53980,0;53980,0;75805,0
CAR436;2014;51672,0;51672,0;50109,0
CAR436;2015;50109,0;50109,0;35937,0
CAR436;2017;64838,0;28901,0;34126,0
CAR436;2019;34126,0;32050,0;55869,0
CAR436;2020;98445,0;66395,0;39232,0
CAR436;2021;39232,0;39232,0;61627,0
CAR436;2022;17627,0;61627,0;74990,0
CAR436;2023;93500,0;74990,0;72019,0
CAR439;2011;14880,0;34163,0;110283,0
CAR439;2012;53936,0;106831,0;4843,0
CAR441;2013;60017,0;26118,0;24431,0
CAR441;2014;16199,0;24431,0;23219,0
CAR443;2015;418990,0;151452,0;86909,0
CAR443;2016;65000,0;86909,0;93117,0
CAR443;2017;65993,0;93117,0;92482,0
CAR443;2018;49014,0;92482,0;54046,0
CAR443;2023;260810,0;138389,0;142978,0
CAR443;2024;141889,0;141090,0;25500,0
CAR444;2011;1598,0;43436,0;48163,0
CAR444;2013;9159,0;49419,0;47094,0
CAR444;2014;87288,0;47094,0;52412,0
CAR444;2018;879,0;80550,0;86433,0
CAR444;2019;10459,0;158080,0;88011,0
CAR444;2020;162539,0;85846,0;67919,0
CAR444;2021;37040,0;59296,0;78217,0
CAR444;2022;83460,0;88350,0;80848,0
CAR444;2024;54217,0;128081,0;20338,0
CAR445;2015;17825,0;44705,0;46635,0
CAR449;2014;64358,0;51519,0;29357,0
CAR450;2014;54920,0;24463,0;20243,0
CAR452;2010;79548,0;79548,0;62414,0
CAR452;2011;62414,0;62414,0;61916,0
CAR452;2012;61916,0;61916,0;56595,0
CAR452;2013;56595,0;56595,0;68155,0
CAR452;2014;68155,0;68155,0;71200,0
CAR452;2015;78629,0;78629,0;7429,0
CAR455;2009;5793,0;37466,0;36692,0
CAR455;2011;3200,0;33560,0;39572,0
CAR455;2012;1749,0;39572,0;44531,0
CAR455;2013;69380,0;44531,0;50436,0
CAR455;2016;28744,0;51597,0;56811,0
CAR455;2017;44545,0;51073,0;63102,0
CAR457;2012;45000,0;38106,0;37897,0
CAR457;2013;22000,0;37897,0;8663,0
CAR459;2011;32302,0;54968,0;57597,0
CAR462;2009;74600,0;74600,0;115047,0
CAR462;2010;70000,0;189610,0;169643,0
CAR462;2011;2385,0;95080,0;214469,0
CAR462;2012;130950,0;54500,0;197913,0
CAR463;2014;16608,0;26633,0;20726,0
CAR465;2011;7384,0;34144,0;22354,0
CAR465;2013;36,0;28396,0;16158,0
CAR465;2016;77155,0;28411,0;27711,0
CAR465;2017;56122,0;27711,0;20370,0
CAR465;2018;20370,0;20370,0;25864,0
CAR465;2019;25864,0;25864,0;21965,0
CAR465;2020;21599,0;21599,0;37577,0
CAR465;2021;37943,0;37943,0;27473,0
CAR466;2013;74759,0;42391,0;44169,0
CAR466;2014;5000,0;43970,0;42058,0
CAR466;2015;19211,0;41671,0;41893,0
CAR466;2016;69584,0;43106,0;18883,0
CAR467;2012;6000,0;82399,0;84664,0
CAR467;2013;108845,0;71633,0;72921,0
CAR467;2015;121655,0;50260,0;60238,0
CAR468;2011;19624,0;38429,0;48597,0
CAR469;2012;10000,0;19754,0;11460,0
CAR473;2010;605,0;113945,0;69274,0
CAR473;2011;12996,0;69274,0;69871,0
CAR473;2019;72904,0;99403,0;93422,0
CAR473;2020;148573,0;93422,0;118197,0
CAR473;2021;168254,0;118197,0;139543,0
CAR473;2022;52110,0;139543,0;121374,0
CAR473;2023;12911,0;121374,0;114348,0
CAR473;2024;122413,0;152968,0;38620,0
CAR474;2014;24977,0;40954,0;11169,0
CAR475;2013;80000,0;84208,0;84303,0
CAR475;2014;365,0;79889,0;74089,0
CAR475;2015;76856,0;76867,0;71706,0
CAR475;2017;33510,0;175483,0;115983,0
CAR475;2018;231098,0;122699,0;121260,0
CAR475;2019;142140,0;78213,0;114092,0
CAR475;2020;31303,0;126266,0;110704,0
CAR475;2021;9289,0;110704,0;100693,0
CAR475;2022;248884,0;100693,0;115191,0
CAR475;2023;4765,0;115191,0;104701,0
CAR476;2013;106700,0;195187,0;252685,0
CAR476;2014;23113,0;234714,0;225889,0
CAR476;2015;151805,0;241889,0;257506,0
CAR476;2016;39430,0;134324,0;181537,0
CAR477;2014;13850,0;15097,0;2280,0
CAR478;2014;77996,0;80053,0;64352,0
CAR479;2014;40219,0;37674,0;14733,0
CAR481;2011;99,0;115617,0;98735,0
CAR481;2013;42254,0;198508,0;116005,0
CAR486;2011;1319,0;11547,0;20625,0
CAR491;2011;12616,0;46549,0;39593,0
CAR491;2019;45815,0;54150,0;24901,0
CAR491;2020;34193,0;23710,0;51559,0
CAR491;2021;6798,0;52750,0;62208,0
CAR495;2012;21000,0;103262,0;83662,0
CAR495;2013;2991,0;67339,0;75303,0
CAR495;2014;8752,0;63277,0;73231,0
CAR495;2017;198,0;128926,0;44758,0
CAR495;2020;55026,0;46531,0;48407,0
CAR495;2021;21368,0;67395,0;58992,0
CAR495;2022;53421,0;58992,0;33881,0
CAR496;2011;42880,0;42880,0;48978,0
CAR496;2012;48978,0;48978,0;46295,0
CAR497;2015;4188,0;402848,0;14795,0
CAR497;2016;14523,0;98265,0;15777,0
CAR497;2017;219088,0;15777,0;10189,0
CAR497;2018;9500,0;10189,0;9470,0
CAR497;2019;9600,0;9470,0;7074,0
CAR498;2013;275,0;109593,0;127349,0
CAR498;2015;137389,0;109562,0;118625,0
CAR498;2016;51528,0;118625,0;104749,0
CAR498;2018;36258,0;274023,0;137746,0
CAR498;2019;172630,0;255728,0;117982,0
CAR502;2011;1895,0;64528,0;68238,0
CAR502;2012;4933,0;68095,0;72505,0
CAR502;2013;71552,0;146159,0;74162,0
CAR502;2014;466,0;68835,0;70574,0
CAR502;2016;143945,0;59997,0;61127,0
CAR502;2017;61127,0;61127,0;50770,0
CAR503;2012;15715,0;14873,0;10907,0
CAR503;2013;13930,0;13930,0;13568,0
CAR503;2014;11124,0;24475,0;12006,0
CAR503;2015;25357,0;12006,0;10933,0
CAR503;2016;10933,0;10933,0;8136,0
CAR503;2017;8136,0;8136,0;8168,0
CAR504;2012;1568,0;11712,0;2508,0
CAR504;2014;10820,0;8285,0;18641,0
CAR509;2011;20518,0;20518,0;16616,0
CAR509;2014;4078,0;18452,0;19036,0
CAR509;2015;39274,0;19036,0;18232,0
CAR512;2013;25689,0;29913,0;63092,0
CAR512;2014;120,0;92202,0;102564,0
CAR512;2015;79002,0;102856,0;76979,0
CAR512;2016;103843,0;83795,0;98220,0
CAR512;2017;28896,0;94661,0;97434,0
CAR517;2011;10923,0;21896,0;22155,0
CAR517;2022;4896,0;73913,0;96070,0
CAR521;2012;418,0;56419,0;32392,0
CAR521;2020;34224,0;132276,0;72535,0
CAR521;2021;55954,0;72535,0;65770,0
CAR521;2022;118844,0;65770,0;72852,0
CAR521;2023;79457,0;53713,0;65050,0
CAR522;2012;53736,0;53736,0;42212,0
CAR522;2013;43494,0;42212,0;39354,0
CAR522;2014;36000,0;39354,0;29003,0
CAR522;2022;6253,0;62776,0;52645,0
CAR522;2023;114267,0;51491,0;30864,0
CAR531;2016;9910,0;66666,0;3243,0
CAR531;2022;8066,0;30521,0;31100,0
CAR545;2012;131437,0;81806,0;77508,0
CAR545;2013;81806,0;73162,0;68142,0
CAR545;2014;73162,0;65459,0;55724,0
CAR545;2016;52833,0;119138,0;72725,0
CAR545;2018;68635,0;68635,0;227508,0
CAR545;2019;201645,0;201645,0;90993,0
CAR551;2012;25000,0;61434,0;45241,0
CAR557;2010;12917,0;12917,0;12268,0
CAR557;2011;11993,0;11993,0;10218,0
CAR558;2012;15000,0;74556,0;7510,0
CAR560;2012;15450,0;85604,0;51549,0
CAR560;2016;27712,0;33367,0;56392,0
CAR560;2017;10120,0;56392,0;61256,0
CAR560;2021;26389,0;128104,0;81150,0
CAR560;2023;23708,0;81150,0;65241,0
CAR574;2011;24041,0;13076,0;24053,0
CAR574;2012;24053,0;24053,0;21759,0
CAR574;2013;21759,0;21759,0;18189,0
CAR574;2014;18189,0;18189,0;13028,0
CAR574;2015;13028,0;13028,0;12997,0
CAR574;2016;12997,0;12997,0;10744,0
CAR574;2017;10744,0;10744,0;12096,0
CAR575;2013;3782,0;1034,0;1034,0
CAR575;2014;1068,0;1034,0;1079,0
CAR575;2015;1765,0;1079,0;1079,0
CAR575;2016;1889,0;1079,0;864,0
CAR588;2011;30548,0;30548,0;51938,0
CAR588;2012;51938,0;51938,0;64693,0
CAR588;2013;64693,0;64693,0;75573,0
CAR588;2014;75573,0;75573,0;79657,0
CAR588;2015;79657,0;79657,0;83057,0
CAR588;2016;83057,0;83057,0;90646,0
CAR588;2017;90646,0;90646,0;38045,0
CAR590;2010;9248,0;9248,0;848,0
CAR590;2011;848,0;848,0;848,0
CAR590;2012;848,0;848,0;848,0
CAR590;2014;848,0;885,0;885,0
CAR592;2011;47412,0;47412,0;40067,0
CAR592;2012;41321,0;41321,0;40374,0
CAR592;2013;37653,0;37653,0;42042,0
CAR592;2014;41352,0;41352,0;31274,0
CAR592;2015;23327,0;23327,0;38259,0
CAR592;2019;49640,0;49640,0;25772,0
